UDI,Product ID,Type,air_temperature,process_temperature,rotational_speed,torque,tool_wear,Machine failure,TWF,HDF,PWF,OSF,RNF
75,M00019,M,300.2,310.1,1932,29.2,91,0,0,0,0,0,0
76,M00020,M,300.6,310.7,1349,32.2,201,0,0,0,0,0,0
77,M00021,M,298.0,310.0,1695,36.2,32,0,0,0,0,0,0
78,L00041,L,301.4,310.2,1400,43.6,109,0,0,0,0,0,0
79,L00042,L,300.2,311.4,1562,44.8,151,0,0,0,0,0,0
80,L00043,L,296.6,307.7,1376,42.0,69,0,0,0,0,0,0
81,H00017,H,298.1,309.0,1316,37.9,141,0,0,0,0,0,0
82,M00022,M,299.0,310.3,1631,38.6,245,0,0,0,0,0,0
83,L00044,L,299.9,310.2,1610,38.7,95,0,0,0,0,0,0
84,L00045,L,303.8,313.2,1742,22.2,82,0,0,0,0,0,0
85,L00046,L,300.5,311.6,1531,39.4,197,0,0,0,0,0,0
86,L00047,L,298.3,309.4,1935,34.2,83,0,0,0,0,0,0
87,M00023,M,300.4,311.5,1586,23.5,216,0,0,0,0,0,0
88,M00024,M,299.3,309.3,1639,64.2,124,1,0,0,1,0,0
89,H00018,H,300.6,309.9,1294,43.1,83,0,0,0,0,0,0
90,L00048,L,301.2,311.4,1428,40.1,165,0,0,0,0,0,0
91,L00049,L,302.4,313.3,1631,36.3,138,0,0,0,0,0,0
92,M00025,M,300.0,311.0,1522,47.3,190,0,0,0,0,0,0
93,M00026,M,303.3,312.9,1571,28.4,159,0,0,0,0,0,0
94,M00027,M,301.8,312.1,1391,36.9,156,0,0,0,0,0,0
95,M00028,M,298.6,307.3,1559,30.5,29,0,0,0,0,0,0
96,L00050,L,304.4,315.4,1559,47.2,156,0,0,0,0,0,0
97,M00029,M,300.7,309.9,1326,31.7,85,0,0,0,0,0,0
98,L00051,L,298.3,309.1,1653,51.0,138,0,0,0,0,0,0
99,L00052,L,303.3,312.2,1233,39.0,176,0,0,0,0,0,0
100,L00053,L,304.2,315.2,1570,47.7,211,0,0,0,0,0,0
101,L00054,L,299.9,310.2,1854,44.0,104,0,0,0,0,0,0
102,M00030,M,299.0,308.2,1659,50.6,77,0,0,0,0,0,0
103,L00055,L,299.7,310.4,1658,30.6,218,0,0,0,0,0,0
104,M00031,M,301.4,310.8,1377,49.1,191,0,0,0,0,0,0
105,H00019,H,302.6,313.3,1854,21.4,121,0,0,0,0,0,0
106,L00056,L,301.1,310.8,1784,40.4,165,0,0,0,0,0,0
107,L00057,L,300.2,308.5,1386,34.5,187,0,0,0,0,0,0
108,M00032,M,303.0,312.0,1453,26.0,195,0,0,0,0,0,0
109,L00058,L,299.4,309.0,1762,31.1,134,0,0,0,0,0,0
110,L00059,L,302.1,313.5,1859,33.6,93,0,0,0,0,0,0
111,L00060,L,299.4,310.3,1311,38.0,73,0,0,0,0,0,0
112,L00061,L,300.9,312.5,1358,34.8,134,0,0,0,0,0,0
113,H00020,H,299.8,311.5,1512,40.8,4,0,0,0,0,0,0
114,H00021,H,299.9,309.4,1168,31.7,195,0,0,0,0,0,0
115,M00033,M,299.2,309.0,1541,35.2,46,0,0,0,0,0,0
116,H00022,H,302.7,312.3,1750,37.1,35,0,0,0,0,0,0
117,H00023,H,298.5,307.8,1280,41.8,142,0,0,0,0,0,0
118,L00062,L,298.5,306.7,1560,48.5,38,0,0,0,0,0,0
119,H00024,H,304.2,314.2,1433,48.5,37,0,0,0,0,0,0
120,M00034,M,302.0,310.7,1831,42.4,35,0,0,0,0,0,0
121,H00025,H,295.2,305.2,1436,44.3,114,0,0,0,0,0,0
122,H00026,H,298.9,311.0,1809,43.1,1,0,0,0,0,0,0
123,L00063,L,296.4,305.9,1431,36.9,14,0,0,0,0,0,0
124,L00064,L,298.1,308.3,1676,49.0,83,0,0,0,0,0,0
125,L00065,L,293.7,304.6,1583,30.9,54,0,0,0,0,0,0
126,L00066,L,299.7,310.0,1513,19.5,225,1,0,0,1,0,0
127,H00027,H,297.7,308.0,1396,29.6,76,0,0,0,0,0,0
128,H00028,H,300.1,309.7,1595,54.0,187,1,0,0,1,0,0
129,L00067,L,296.7,306.5,1459,37.0,24,0,0,0,0,0,0
130,M00035,M,300.2,309.2,1414,42.7,13,0,0,0,0,0,0
131,L00068,L,299.2,310.0,1801,37.3,232,1,1,0,0,0,0
132,L00069,L,303.0,311.3,1636,45.6,239,0,0,0,0,0,0
133,L00070,L,302.8,313.8,1653,40.7,245,1,1,0,0,0,0
134,L00071,L,301.6,310.2,1467,39.3,136,0,0,0,0,0,0
135,H00029,H,299.3,310.3,1504,46.1,176,0,0,0,0,0,0
136,L00072,L,304.0,313.6,1493,35.3,117,0,0,0,0,0,0
137,M00036,M,296.9,305.7,1598,43.7,162,0,0,0,0,0,0
138,M00037,M,297.2,307.8,1652,38.3,213,0,0,0,0,0,0
139,L00073,L,299.8,310.7,1532,38.9,4,0,0,0,0,0,0
140,H00030,H,304.5,314.1,1396,31.8,235,0,0,0,0,0,0
141,H00031,H,299.6,310.3,1674,37.8,100,0,0,0,0,0,0
142,L00074,L,299.6,307.3,1543,34.6,205,0,0,0,0,0,0
143,L00075,L,297.1,305.8,1280,51.3,144,0,0,0,0,0,0
144,L00076,L,301.9,313.2,1168,23.2,68,1,0,0,1,0,0
145,L00077,L,301.9,311.7,1591,48.9,204,0,0,0,0,0,0
146,L00078,L,301.6,309.7,1389,22.6,53,1,0,0,1,0,0
147,M00038,M,298.7,308.0,1615,45.4,174,0,0,0,0,0,0
148,M00039,M,298.6,307.7,1399,31.6,222,0,0,0,0,0,0
149,L00079,L,297.4,307.2,1561,45.7,176,0,0,0,0,0,0
150,L00080,L,300.2,309.8,1470,38.8,73,0,0,0,0,0,0
151,H00032,H,297.8,308.0,1851,25.7,239,0,0,0,0,0,0
152,L00081,L,297.6,307.5,1708,53.6,61,1,0,0,1,0,0
153,L00082,L,299.2,310.6,1779,47.8,150,0,0,0,0,0,0
154,L00083,L,299.0,309.4,1542,45.0,92,0,0,0,0,0,0
155,H00033,H,298.9,309.4,1685,33.6,15,0,0,0,0,0,0
156,L00084,L,300.9,312.1,1554,48.1,208,0,0,0,0,0,0
157,M00040,M,300.2,309.8,1801,27.2,134,0,0,0,0,0,0
158,M00041,M,299.4,308.1,1525,17.7,42,1,0,0,1,0,0
159,L00085,L,300.4,311.6,1287,24.4,205,1,0,0,1,0,0
160,M00042,M,298.0,308.1,1180,30.8,171,0,0,0,0,0,0
161,L00086,L,300.2,310.3,1836,32.5,136,0,0,0,0,0,0
162,M00043,M,300.3,309.7,1623,35.7,70,0,0,0,0,0,0
163,M00044,M,297.0,306.4,1635,36.1,205,0,0,0,0,0,0
164,M00045,M,302.0,312.8,1804,33.5,79,0,0,0,0,0,0
165,L00087,L,298.2,309.2,1242,18.8,187,1,0,0,1,0,0
166,H00034,H,300.2,311.0,1473,41.9,137,0,0,0,0,0,0
167,L00088,L,302.3,313.1,1495,37.4,126,0,0,0,0,0,0
168,L00089,L,301.9,312.5,1670,33.0,123,0,0,0,0,0,0
169,L00090,L,300.1,310.2,1414,54.0,132,0,0,0,0,0,0
170,M00046,M,299.3,309.1,1322,37.6,50,0,0,0,0,0,0
171,M00047,M,301.9,313.1,1321,40.6,6,0,0,0,0,0,0
172,L00091,L,301.3,310.9,1743,48.0,21,0,0,0,0,0,0
173,M00048,M,298.8,309.2,1405,25.1,23,0,0,0,0,0,0
174,L00092,L,298.4,307.6,1439,39.8,125,0,0,0,0,0,0
175,M00049,M,295.9,305.2,1651,47.9,103,0,0,0,0,0,0
176,L00093,L,300.3,310.1,1412,39.1,41,0,0,0,0,0,0
177,M00050,M,299.8,309.0,1232,27.0,149,1,0,0,1,0,0
178,L00094,L,302.3,313.1,1254,35.2,246,1,1,0,0,0,0
179,H00035,H,300.7,309.4,1527,41.9,162,0,0,0,0,0,0
180,L00095,L,302.7,312.8,1627,18.9,237,1,1,0,1,0,0
181,L00096,L,298.6,308.7,1501,26.5,115,0,0,0,0,0,0
182,L00097,L,302.3,310.5,1615,59.7,182,1,0,0,1,0,0
183,H00036,H,298.9,308.5,1249,44.8,245,0,0,0,0,0,0
184,H00037,H,301.6,311.9,1261,54.8,130,0,0,0,0,0,0
185,L00098,L,297.1,307.5,1941,48.7,110,1,0,0,1,0,0
186,M00051,M,300.5,310.3,1758,43.9,105,0,0,0,0,0,0
187,H00038,H,296.0,306.7,1675,36.9,198,0,0,0,0,0,0
188,M00052,M,299.5,309.4,1419,43.8,18,0,0,0,0,0,0
189,M00053,M,300.9,310.9,1495,54.5,169,0,0,0,0,0,0
190,L00099,L,299.0,309.3,1537,48.3,173,0,0,0,0,0,0
191,L00100,L,297.9,308.8,1773,41.7,71,0,0,0,0,0,0
192,H00039,H,301.7,311.0,1610,38.3,124,0,0,0,0,0,0
193,H00040,H,299.8,309.3,1632,45.0,214,0,0,0,0,0,0
194,M00054,M,299.0,308.3,1507,34.7,147,0,0,0,0,0,0
195,L00101,L,300.1,309.8,1679,45.0,32,0,0,0,0,0,0
196,L00102,L,305.3,316.7,1592,33.0,133,0,0,0,0,0,0
197,M00055,M,302.3,312.9,1545,36.5,14,0,0,0,0,0,0
198,H00041,H,302.3,311.2,1404,29.7,68,0,0,0,0,0,0
199,H00042,H,300.9,310.3,1517,35.6,205,0,0,0,0,0,0
200,M00056,M,300.3,310.7,1344,33.2,200,0,0,0,0,0,0
201,M00057,M,295.2,304.3,1530,56.9,89,1,0,0,1,0,0
202,L00103,L,298.6,307.9,1553,31.1,223,0,0,0,0,0,0
203,L00104,L,299.0,310.3,1168,43.8,30,0,0,0,0,0,0
204,H00043,H,296.3,305.7,1496,30.5,5,0,0,0,0,0,0
205,M00058,M,297.7,308.7,1327,40.5,128,0,0,0,0,0,0
206,L00105,L,296.0,307.3,1627,42.9,146,0,0,0,0,0,0
207,L00106,L,299.9,309.2,1652,21.5,14,0,0,0,0,0,0
208,M00059,M,301.6,310.7,1461,26.0,33,0,0,0,0,0,0
209,L00107,L,302.2,311.9,1636,30.5,191,0,0,0,0,0,0
210,L00108,L,300.8,309.7,1643,27.0,82,0,0,0,0,0,0
211,M00060,M,298.1,308.2,1496,40.8,176,0,0,0,0,0,0
212,M00061,M,296.1,305.9,1812,42.4,202,0,0,0,0,0,0
213,M00062,M,296.5,306.9,1408,29.4,81,0,0,0,0,0,0
214,L00109,L,297.5,308.9,1801,41.2,215,1,1,0,0,0,0
215,M00063,M,298.2,309.0,1497,35.8,173,0,0,0,0,0,0
216,L00110,L,299.7,310.2,1387,39.0,50,0,0,0,0,0,0
217,L00111,L,298.0,306.0,1475,33.7,200,0,0,0,0,0,0
218,M00064,M,300.7,311.1,1341,44.9,10,0,0,0,0,0,0
219,M00065,M,299.5,311.2,1678,56.3,234,1,1,0,1,1,0
220,H00044,H,300.0,307.0,1251,47.7,3,1,0,1,0,0,0
221,M00066,M,302.3,313.0,1786,53.9,81,1,0,0,1,0,0
222,M00067,M,297.6,307.4,1370,26.0,235,1,1,0,0,0,0
223,L00112,L,300.8,310.0,1687,33.2,214,0,0,0,0,0,0
224,L00113,L,300.0,310.8,1542,45.7,40,0,0,0,0,0,0
225,L00114,L,299.3,311.0,1586,55.1,228,1,1,0,1,1,0
226,L00115,L,301.8,312.6,1432,46.5,191,0,0,0,0,0,0
227,H00045,H,301.8,311.4,1601,29.7,0,0,0,0,0,0,0
228,L00116,L,298.1,307.2,1562,35.7,216,0,0,0,0,0,0
229,H00046,H,299.6,309.7,1277,43.3,8,0,0,0,0,0,0
230,M00068,M,300.6,311.5,1365,38.4,166,0,0,0,0,0,0
231,M00069,M,299.5,309.1,1441,32.0,64,0,0,0,0,0,0
232,M00070,M,301.2,310.9,1402,37.1,115,0,0,0,0,0,0
233,M00071,M,300.6,313.4,1762,39.9,16,0,0,0,0,0,0
234,L00117,L,303.7,314.8,1539,29.2,66,0,0,0,0,0,0
235,L00118,L,296.9,308.1,1398,49.8,86,0,0,0,0,0,0
236,M00072,M,299.8,308.3,1450,35.6,0,0,0,0,0,0,0
237,L00119,L,298.2,307.5,1447,39.3,151,0,0,0,0,0,0
238,L00120,L,301.2,311.3,1486,50.4,204,0,0,0,0,0,0
239,M00073,M,296.8,305.8,1345,38.8,121,0,0,0,0,0,0
240,L00121,L,300.7,312.3,1392,49.8,147,0,0,0,0,0,0
241,H00047,H,298.7,310.1,1675,29.7,191,0,0,0,0,0,0
242,H00048,H,298.5,308.0,1571,44.3,147,0,0,0,0,0,0
243,H00049,H,297.1,308.9,1510,48.4,123,0,0,0,0,0,0
244,L00122,L,299.1,309.1,1538,31.7,203,0,0,0,0,0,0
245,L00123,L,302.2,314.8,1529,38.2,80,0,0,0,0,0,0
246,H00050,H,299.9,310.0,1500,38.4,84,0,0,0,0,0,0
247,L00124,L,301.3,311.9,1630,42.1,167,0,0,0,0,0,0
248,H00051,H,303.3,314.7,1617,44.7,215,0,0,0,0,0,0
249,H00052,H,300.5,311.8,1256,30.9,157,0,0,0,0,0,0
250,H00053,H,298.9,309.4,1514,39.4,150,0,0,0,0,0,0
251,L00125,L,300.9,310.8,1268,55.9,22,0,0,0,0,0,0
252,L00126,L,298.9,309.4,1651,50.5,119,0,0,0,0,0,0
253,H00054,H,299.0,308.2,1675,47.9,55,0,0,0,0,0,0
254,L00127,L,297.0,307.2,1428,38.1,46,0,0,0,0,0,0
255,L00128,L,301.9,310.8,1517,61.3,144,1,0,0,1,0,0
256,M00074,M,299.2,307.4,1168,50.3,1,1,0,1,0,0,0
257,H00055,H,300.4,310.5,1712,40.4,105,0,0,0,0,0,0
258,M00075,M,297.9,309.2,1665,42.2,215,0,0,0,0,0,0
259,M00076,M,300.9,311.8,1743,35.4,32,0,0,0,0,0,0
260,L00129,L,298.5,308.4,1804,43.9,248,1,1,0,0,0,0
261,M00077,M,299.7,311.4,1318,45.9,248,1,1,0,0,0,0
262,H00056,H,301.8,311.2,1696,47.0,236,0,0,0,0,0,0
263,L00130,L,301.6,309.7,1802,38.2,107,0,0,0,0,0,0
264,M00078,M,300.0,307.8,1270,25.3,14,1,0,1,1,0,0
265,H00057,H,296.5,305.3,1507,42.4,31,0,0,0,0,0,0
266,M00079,M,306.0,316.8,1472,47.1,105,0,0,0,0,0,0
267,M00080,M,303.5,312.9,1691,30.2,161,0,0,0,0,0,0
268,M00081,M,301.4,311.9,1168,39.1,187,0,0,0,0,0,0
269,L00131,L,298.5,310.1,1863,53.4,213,1,0,0,1,1,0
270,L00132,L,299.8,308.7,1517,28.0,30,0,0,0,0,0,0
271,H00058,H,298.9,309.4,1701,37.2,14,0,0,0,0,0,0
272,H00059,H,302.5,313.0,1527,54.9,147,0,0,0,0,0,0
273,H00060,H,300.5,309.6,1626,41.6,105,0,0,0,0,0,0
274,H00061,H,298.4,309.8,1168,34.7,214,0,0,0,0,0,0
275,M00082,M,299.1,308.8,1469,39.9,30,0,0,0,0,0,0
276,M00083,M,302.2,311.8,1689,48.3,1,0,0,0,0,0,0
277,M00084,M,303.2,315.3,1589,38.0,12,0,0,0,0,0,0
278,M00085,M,303.1,313.6,1245,46.0,233,1,1,0,0,0,0
279,M00086,M,301.5,312.4,1548,42.3,95,0,0,0,0,0,0
280,M00087,M,299.5,310.9,1391,43.2,112,0,0,0,0,0,0
281,H00062,H,293.5,302.8,1375,46.6,143,0,0,0,0,0,0
282,L00133,L,300.6,311.8,1265,37.1,14,0,0,0,0,0,0
283,L00134,L,300.0,309.5,1648,30.6,24,0,0,0,0,0,0
284,L00135,L,300.3,309.8,1737,44.7,75,0,0,0,0,0,0
285,M00088,M,300.1,309.8,1917,38.7,27,0,0,0,0,0,0
286,L00136,L,297.3,306.7,1274,35.5,104,0,0,0,0,0,0
287,L00137,L,301.1,311.9,1675,45.3,11,0,0,0,0,0,0
288,M00089,M,301.3,311.6,1687,52.8,120,1,0,0,1,0,0
289,L00138,L,301.4,310.9,1434,38.5,212,0,0,0,0,0,0
290,M00090,M,301.9,312.6,1373,40.1,203,0,0,0,0,0,0
291,L00139,L,301.2,310.9,1343,28.2,242,0,0,0,0,0,0
292,L00140,L,299.2,308.9,1443,37.8,181,0,0,0,0,0,0
293,H00063,H,299.9,309.9,1574,42.2,185,0,0,0,0,0,0
294,L00141,L,300.2,310.7,1781,39.8,112,0,0,0,0,0,0
295,L00142,L,300.2,310.6,1735,36.4,143,0,0,0,0,0,0
296,M00091,M,302.0,311.6,1248,47.3,189,0,0,0,0,0,0
297,M00092,M,301.3,312.1,1396,40.6,73,0,0,0,0,0,0
298,L00143,L,304.2,314.0,1770,65.9,247,1,0,0,1,1,0
299,M00093,M,304.4,313.7,1407,42.1,137,0,0,0,0,0,0
300,L00144,L,300.2,308.7,1527,12.5,243,1,0,0,1,0,0
301,L00145,L,292.3,303.3,1232,28.9,193,0,0,0,0,0,0
302,M00094,M,302.5,312.5,1744,45.3,90,0,0,0,0,0,0
303,M00095,M,298.9,309.1,1195,33.6,51,0,0,0,0,0,0
304,M00096,M,298.4,309.4,1243,34.2,29,0,0,0,0,0,0
305,M00097,M,299.2,308.7,1726,27.6,96,0,0,0,0,0,0
306,H00064,H,299.1,307.7,1881,35.2,15,0,0,0,0,0,0
307,M00098,M,301.2,311.3,1485,41.9,137,0,0,0,0,0,0
308,L00146,L,296.9,307.2,1529,43.9,142,0,0,0,0,0,0
309,M00099,M,297.8,307.5,1700,29.8,25,0,0,0,0,0,0
310,L00147,L,300.7,312.2,1589,48.1,188,0,0,0,0,0,0
311,L00148,L,301.2,308.7,1471,28.1,247,0,0,0,0,0,0
312,L00149,L,301.3,312.4,1451,44.4,14,0,0,0,0,0,0
313,L00150,L,298.4,309.2,1257,43.4,133,0,0,0,0,0,0
314,H00065,H,298.0,308.5,1579,30.7,208,0,0,0,0,0,0
315,H00066,H,299.0,305.7,1521,29.5,108,0,0,0,0,0,0
316,M00100,M,300.5,311.8,1459,43.8,128,0,0,0,0,0,0
317,L00151,L,303.0,312.0,1358,34.4,113,0,0,0,0,0,0
318,L00152,L,295.9,305.4,1376,38.1,86,0,0,0,0,0,0
319,L00153,L,299.6,309.4,1648,46.9,225,0,0,0,0,0,0
320,L00154,L,297.3,307.7,1695,44.8,162,0,0,0,0,0,0
321,M00101,M,296.7,307.3,1479,30.8,123,0,0,0,0,0,0
322,M00102,M,301.9,312.8,1460,39.5,106,0,0,0,0,0,0
323,M00103,M,301.1,311.9,1385,30.7,88,0,0,0,0,0,0
324,L00155,L,300.9,311.2,1705,48.7,128,0,0,0,0,0,0
325,H00067,H,301.8,312.2,1543,55.4,88,0,0,0,0,0,0
326,M00104,M,299.0,307.9,1603,31.5,37,0,0,0,0,0,0
327,M00105,M,299.1,308.3,1602,39.7,207,0,0,0,0,0,0
328,M00106,M,304.4,315.3,1482,49.2,238,0,0,0,0,0,0
329,L00156,L,299.5,310.3,1329,40.2,40,0,0,0,0,0,0
330,L00157,L,301.5,312.2,1359,45.6,139,0,0,0,0,0,0
331,L00158,L,300.0,309.5,1739,40.5,191,0,0,0,0,0,0
332,M00107,M,296.3,307.2,1408,29.4,137,0,0,0,0,0,0
333,L00159,L,295.9,304.7,1464,41.2,154,0,0,0,0,0,0
334,L00160,L,298.8,309.9,1334,51.3,247,1,1,0,0,1,0
335,L00161,L,302.1,311.8,1320,43.1,166,0,0,0,0,0,0
336,L00162,L,301.6,313.3,1400,56.2,233,1,1,0,0,1,0
337,H00068,H,301.8,310.3,1840,22.3,198,0,0,0,0,0,0
338,M00108,M,298.0,309.8,1655,43.8,69,0,0,0,0,0,0
339,L00163,L,303.2,312.8,1443,33.5,44,0,0,0,0,0,0
340,L00164,L,298.1,307.7,1731,31.2,10,0,0,0,0,0,0
341,L00165,L,300.4,310.6,1510,53.3,23,0,0,0,0,0,0
342,L00166,L,300.0,309.3,1780,37.4,56,0,0,0,0,0,0
343,L00167,L,299.7,309.6,1933,36.5,39,0,0,0,0,0,0
344,L00168,L,302.7,312.0,1722,43.4,88,0,0,0,0,0,0
345,L00169,L,298.6,307.9,1554,18.5,36,1,0,0,1,0,0
346,M00109,M,297.3,307.8,1663,53.5,2,1,0,0,1,0,0
347,M00110,M,300.0,309.1,1540,59.0,195,1,0,0,1,0,0
348,L00170,L,299.2,308.4,1209,49.2,67,0,0,0,0,0,0
349,L00171,L,306.8,315.4,1420,44.1,120,0,0,0,0,0,0
350,M00111,M,301.4,310.9,1367,37.8,232,0,0,0,0,0,0
351,M00112,M,299.2,310.5,1416,29.2,128,0,0,0,0,0,0
352,H00069,H,297.9,307.1,1859,51.9,93,1,0,0,1,0,0
353,M00113,M,296.2,305.5,1738,49.2,206,0,0,0,0,0,0
354,L00172,L,297.9,308.1,1616,44.5,44,0,0,0,0,0,0
355,L00173,L,300.2,309.8,1683,43.3,30,0,0,0,0,0,0
356,M00114,M,302.9,315.1,1199,43.0,36,0,0,0,0,0,0
357,L00174,L,302.2,312.0,1668,34.7,113,0,0,0,0,0,0
358,M00115,M,300.5,310.8,1706,65.0,196,1,0,0,1,1,0
359,H00070,H,299.4,310.3,1168,37.1,42,0,0,0,0,0,0
360,M00116,M,300.5,311.4,1674,35.7,84,0,0,0,0,0,0
361,L00175,L,299.0,309.2,1283,51.2,98,0,0,0,0,0,0
362,M00117,M,303.4,313.2,1185,39.7,3,0,0,0,0,0,0
363,L00176,L,299.6,311.6,1775,39.8,198,0,0,0,0,0,0
364,M00118,M,299.8,309.7,1357,54.1,121,0,0,0,0,0,0
365,H00071,H,295.6,305.2,1409,46.8,28,0,0,0,0,0,0
366,L00177,L,299.6,309.0,1715,47.3,99,0,0,0,0,0,0
367,H00072,H,301.7,310.0,1483,25.8,98,0,0,0,0,0,0
368,H00073,H,297.9,308.7,1505,44.0,95,0,0,0,0,0,0
369,L00178,L,298.5,306.2,1501,29.9,105,0,0,0,0,0,0
370,L00179,L,301.6,311.6,1600,35.5,243,0,0,0,0,0,0
371,L00180,L,297.0,306.8,1497,41.8,138,0,0,0,0,0,0
372,L00181,L,302.1,314.3,1558,39.6,241,1,1,0,0,0,0
373,L00182,L,298.9,307.1,1447,46.5,32,0,0,0,0,0,0
374,M00119,M,299.2,308.3,1600,47.7,180,0,0,0,0,0,0
